Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
ZNF225	ENSG00000256294.7	1.61	2.33	-0.351	3E-21	-20.5228787452803
RP13-977J11.8	ENSG00000256312.1	0.11	0.17	-0.076	0.0921	-1.03574036980315
RP11-153K16.1	ENSG00000256321.5	0	0.03	-0.043	2.17E-19	-18.6635402661515
RPL41P2	ENSG00000256338.2	106.119	58.046	0.859	1.15E-17	16.9393021596464
RP11-21A7A.3	ENSG00000256341.1	0.06	0	0.084	5.74E-07	6.24108810760203
PPIAL4D	ENSG00000256374.2	0.05	0	0.07	9.36E-06	5.0287241512619
RP11-1060J15.4	ENSG00000256377.5	0.11	0.175	-0.082	0.629	-0.201349354554731
RP11-446E24.4	ENSG00000256407.1	0.02	0.03	-0.014	9.12E-11	-10.0400051616716
RP11-1038A11.3	ENSG00000256417.1	0.17	0.165	0.006	0.0862	1.06449273417529
RP1-102E24.8	ENSG00000256433.2	0.5	1.755	-0.877	5.98E-47	-46.2232988160116
TAS2R31	ENSG00000256436.1	0.13	0.25	-0.146	3.81E-18	-17.4190750243244
RP11-794G24.1	ENSG00000256443.1	1.595	1.5	0.054	0.115	0.939302159646388
RP11-116G8.5	ENSG00000256462.1	0.62	1.16	-0.415	2.02E-06	-5.69464863055338
SALL3	ENSG00000256463.8	1.51	4.235	-1.06	4.66E-21	-20.33161408331
YWHABP2	ENSG00000256464.1	0.1	0.19	-0.113	9.31E-16	-15.0310503190187
RP11-21A7A.4	ENSG00000256481.1	0	0.025	-0.036	0.000127	-3.89619627904404
RP11-73M18.2	ENSG00000256500.5	4.2	0.077	2.271	3.15E-34	33.5016894462104
MRGPRF-AS1	ENSG00000256508.2	0.14	1.64	-1.211	7.81E-102	-101.107348966123
POLG2	ENSG00000256525.6	5.97	11.08	-0.793	3.95E-31	-30.4034029043735
RP11-212D19.5	ENSG00000256533.1	0.03	0.07	-0.055	1.63E-20	-19.787812395596
SMIM10L1	ENSG00000256537.4	7.235	6.985	0.044	0.879	0.056011124926228
RP11-598F7.6	ENSG00000256540.1	0.04	0.155	-0.151	8.98E-17	-16.0467236633327
RP13-895J2.3	ENSG00000256542.2	0.01	0.09	-0.11	6.21E-39	-38.2069083998234
RP11-113C12.4	ENSG00000256552.2	0.13	0.55	-0.456	4.12E-49	-48.3851027839669
TRAV1-2	ENSG00000256553.1	0.19	0.075	0.147	0.0103	1.98716277529483
RP4-734P14.4	ENSG00000256566.1	0.32	0.64	-0.313	1.33E-28	-27.8761483590329
RP11-173P15.5	ENSG00000256569.1	1.115	0	1.081	0.000433	3.36351210364663
OR13A1	ENSG00000256574.6	0.33	0.24	0.101	0.0216	1.66554624884907
RP13-977J11.2	ENSG00000256576.2	0.82	0.995	-0.132	9.43E-06	-5.02548830726267
RP11-286N22.8	ENSG00000256591.5	31.49	21.72	0.516	1.59E-07	6.79860287567955
RP11-705C15.2	ENSG00000256594.7	2.365	3.865	-0.532	2.61E-25	-24.5833594926617
RP11-522N14.2	ENSG00000256596.1	0.03	0.02	0.014	0.0017	2.76955107862173
RP11-64B16.4	ENSG00000256609.1	0	0.12	-0.164	8.17E-43	-42.0877779434676
RP11-815J4.6	ENSG00000256616.3	0.07	0.08	-0.013	0.0182	-1.73992861201493
RP11-582E3.4	ENSG00000256625.1	0.02	0.06	-0.055	2.71E-25	-24.5670307091256
ZBTB11-AS1	ENSG00000256628.3	1.35	1.26	0.056	0.011	1.95860731484178
RP11-169D4.2	ENSG00000256633.1	0.1	0.22	-0.149	5.57E-19	-18.2541448048263
PSMA2	ENSG00000256646.7	14.3	10.335	0.433	5.65E-14	13.2479515521806
RP11-424C20.2	ENSG00000256663.1	0.16	0.075	0.11	8.42E-08	7.07468790850035
RP11-611O2.3	ENSG00000256664.1	7.5	8.615	-0.178	1.99E-05	-4.70114692359029
KLRAP1	ENSG00000256667.6	0.745	3.415	-1.339	7.39E-63	-62.1313555616052
LIMS3L	ENSG00000256671.6	0.725	1.125	-0.301	2.38E-11	-10.6234230429435
RP11-172C16.4	ENSG00000256674.1	0.01	0.04	-0.042	1.22E-23	-22.9136401693253
TAS2R12	ENSG00000256682.2	0.03	0.065	-0.048	8.49E-20	-19.071092309756
ZNF350	ENSG00000256683.6	39.495	15.83	1.267	3.87E-47	46.4122890349811
RP11-727F15.9	ENSG00000256690.1	0.915	1.855	-0.576	3.41E-23	-22.4672456210075
RP11-598F7.5	ENSG00000256694.1	0.06	0.16	-0.13	3.6E-12	-11.4436974992327
PGA5	ENSG00000256713.7	0	0.5	-0.585	2.25E-49	-48.6478174818886
RP11-167N4.4	ENSG00000256723.1	0	0.02	-0.029	6.14E-16	-15.2118316288588
RP13-941N14.1	ENSG00000256742.1	0.09	0.225	-0.168	1.33E-15	-14.8761483590329
RP11-680H20.1	ENSG00000256745.1	0.5	0.405	0.094	4.14E-05	4.3829996588791
PLBD1-AS1	ENSG00000256751.5	0.27	0.88	-0.566	4.81E-37	-36.3178549236262
ZNF253	ENSG00000256771.2	5.505	4.085	0.355	4.66E-10	9.33161408331
RP11-60C6.5	ENSG00000256779.1	0.03	0.06	-0.041	0.213	-0.671620396561262
RP11-680F8.1	ENSG00000256802.2	0.08	0.05	0.041	6.98E-06	5.15614457737684
RP11-21A7A.2	ENSG00000256824.1	0	0.08	-0.111	4.82E-16	-15.3169529617612
RP11-405A12.1	ENSG00000256849.1	0.01	0	0.014	0.0532	1.27408836770495
SLC5A8	ENSG00000256870.2	0.13	0.62	-0.52	1.25E-17	-16.9030899869919
RP11-283G6.3	ENSG00000256894.1	0.415	0.43	-0.015	0.859	-0.066006836168758
RP11-17G12.2	ENSG00000256897.1	0.08	0.225	-0.182	1.46E-36	-35.8356471442156
RP11-707G14.8	ENSG00000256898.1	0.06	0.135	-0.099	4.96E-22	-21.3045183235098
IQSEC3P1	ENSG00000256902.1	0	0.02	-0.028	7.95E-34	-33.0996328713435
RP1-102E24.6	ENSG00000256913.1	0.02	0.04	-0.028	5.77E-19	-18.2388241868443
RP11-817J15.2	ENSG00000256916.1	0.29	0.13	0.191	0.0465	1.33254704711005
RP11-449P1.1	ENSG00000256923.1	0	0.08	-0.111	3.08E-35	-34.5114492834996
RP11-809N8.2	ENSG00000256928.1	0.03	0.08	-0.068	4.47E-06	-5.34969247686806
RP11-783K16.5	ENSG00000256940.1	1.89	0.68	0.783	9.9E-35	34.0043648054025
RP13-895J2.2	ENSG00000256943.1	0	0.03	-0.043	7.84E-23	-22.1056839373156
RP11-881M11.1	ENSG00000256944.1	0.105	0	0.144	0.0011	2.95860731484177
RP11-598F7.3	ENSG00000256948.1	0.09	0.025	0.089	0.00375	2.42596873227228
RP11-87C12.2	ENSG00000256950.2	0.205	1.03	-0.752	6.51E-53	-52.1864190114318
RP11-613M10.8	ENSG00000256966.6	0.04	0	0.057	0.0695	1.15801519540989
RP11-273B20.1	ENSG00000256967.1	0.54	2.465	-1.17	4.94E-61	-60.3062730510764
SNRPEP2	ENSG00000256968.1	7.485	2.99	1.089	1.42E-33	32.8477116556169
RP11-359J14.2	ENSG00000256973.1	0.08	0.32	-0.289	9.28E-53	-52.0324520237811
LIMS3	ENSG00000256977.10	0.455	0.625	-0.159	0.000925	-3.03385826726097
KHDC1L	ENSG00000256980.4	0.26	0.295	-0.039	0.0564	-1.24872089601666
TAS2R18	ENSG00000256981.1	0.03	0.07	-0.055	2.78E-25	-24.5559552040819
RP11-114G22.1	ENSG00000256995.6	0	0.1	-0.138	4.98E-24	-23.3027706572403
GPR142	ENSG00000257008.6	0.02	0.08	-0.082	2.84E-35	-34.546681659953
HP	ENSG00000257017.8	0.44	1.655	-0.883	2.23E-17	-16.6516951369518
RP11-705C15.3	ENSG00000257027.1	0.81	1.42	-0.419	2.23E-35	-34.6516951369518
RP11-800A3.7	ENSG00000257038.1	0.24	0.52	-0.294	5.7E-47	-46.2441251443275
RP11-993B23.3	ENSG00000257042.1	0	0.04	-0.057	3.52E-08	-7.45345733652187
RP11-137N23.1	ENSG00000257043.1	0.06	0	0.084	0.852	0.0695604052333
RP11-545J16.1	ENSG00000257046.5	0.03	0	0.043	4.87E-11	10.3124710387854
RP11-881M11.2	ENSG00000257052.1	0.48	0.325	0.16	2.8E-05	4.55284196865778
RP11-266O8.1	ENSG00000257060.6	0	0.03	-0.043	3.2E-12	-11.4948500216801
RP11-783K16.10	ENSG00000257069.5	0.31	0.23	0.091	0.265	0.576754126063192
RPL29P33	ENSG00000257074.3	0.215	0	0.281	2.35E-10	9.62893213772826
U47924.27	ENSG00000257084.1	62.641	38.992	0.67	5.03E-27	26.2984320149441
RP11-783K16.13	ENSG00000257086.1	1.38	2.385	-0.508	1.08E-19	-18.966576244513
KIAA1147	ENSG00000257093.6	9.155	8.715	0.064	0.686	0.163675884293248
LSM14A	ENSG00000257103.8	58.545	48.907	0.255	0.0361	1.44249279809434
NHLRC4	ENSG00000257108.1	0.825	1.26	-0.308	8.03E-14	-13.0952844547213
RRN3P3	ENSG00000257122.5	1.49	3.185	-0.749	9.41E-54	-53.0264103765727
RP11-320M2.1	ENSG00000257135.5	0.77	0.665	0.088	4.78E-05	4.32057210338788
PGAM1P5	ENSG00000257150.3	0.05	0.24	-0.24	2.53E-51	-50.5968794788242
PWAR6	ENSG00000257151.1	3.455	4.725	-0.362	8.43E-10	-9.07417242537526
MED15P6	ENSG00000257162.6	0.09	0	0.124	1.7E-05	4.76955107862173
TMPO-AS1	ENSG00000257167.2	0.42	0.4	0.02	0.275	0.560667306169737
RP11-536C10.12	ENSG00000257175.2	0.13	0.18	-0.062	0.000565	-3.24795155218056
RP11-996F15.2	ENSG00000257176.2	0.5	1.04	-0.444	1.6E-18	-17.7958800173441
RP11-611O2.5	ENSG00000257181.1	3.05	1.225	0.864	4.17E-18	17.3798639450262
HOXA10-HOXA9	ENSG00000257184.3	0.07	0	0.098	0.262	0.581698708680255
RP11-567C2.1	ENSG00000257194.2	0.03	0.06	-0.041	2.92E-15	-14.5346171485516
HNRNPA1P50	ENSG00000257195.1	0.02	0	0.029	0.000831	3.08039897621589
NACAP3	ENSG00000257210.1	0.11	0.16	-0.064	0.118	-0.928117992693875
GATC	ENSG00000257218.5	10.175	8.01	0.311	5.35E-09	8.27164621797877
RP11-54A9.1	ENSG00000257219.5	0.06	0.175	-0.149	4.12E-27	-26.3851027839669
RP11-554E23.4	ENSG00000257222.1	0	0.1	-0.138	3.56E-10	-9.44855000202712
RP11-328C8.4	ENSG00000257225.1	0	0.07	-0.098	6.01E-38	-37.2211255279973
RP11-133N21.7	ENSG00000257243.1	0.08	0.4	-0.374	1.05E-54	-53.9788107009301
PHBP19	ENSG00000257246.1	0.08	0.2	-0.152	5.64E-27	-26.2487208960167
RP11-486A14.2	ENSG00000257252.5	0.755	0.91	-0.122	0.797	-0.098541678603888
RP11-767I20.1	ENSG00000257259.1	0	0.04	-0.057	3.65E-18	-17.4377071355435
RP11-96H19.1	ENSG00000257261.5	3.865	3.44	0.132	0.0136	1.86646109162978
MIR3179-1	ENSG00000257264.3	0.49	0.465	0.024	0.265	0.576754126063192
ZNF271P	ENSG00000257267.2	8.48	8.525	-0.007	0.0181	-1.74232142513082
RP11-521B24.5	ENSG00000257270.1	5.605	9.135	-0.618	0.374	-0.42712839779952
RP11-231I16.1	ENSG00000257279.1	0.02	0.06	-0.055	1.32E-32	-31.8794260687941
RP11-1060G2.1	ENSG00000257283.1	1.175	1.325	-0.096	0.201	-0.696803942579511
RP11-298I3.1	ENSG00000257285.5	0.34	0.97	-0.556	1.6E-51	-50.7958800173441
RP3-405J10.3	ENSG00000257298.1	0.05	0.25	-0.252	1.77E-66	-65.7520267336382
RP11-977G19.11	ENSG00000257303.1	2.24	3.84	-0.579	9.51E-32	-31.0218194830626
RP11-317N8.4	ENSG00000257307.1	0.09	0.115	-0.033	0.157	-0.804100347590766
RP11-496I2.2	ENSG00000257310.1	0.01	0	0.014	0.000394	3.40450377817443
ZBED6	ENSG00000257315.1	1.455	2.98	-0.697	4.48E-10	-9.34872198600186
RP11-511B23.2	ENSG00000257322.5	0.35	0.225	0.14	4.09E-08	7.38827669199266
RP11-650K20.3	ENSG00000257327.1	0.1	0.15	-0.064	0.0722	-1.14146280243036
MGAM	ENSG00000257335.8	0.03	0.11	-0.108	3.61E-12	-11.4424927980943
RP11-983P16.4	ENSG00000257337.6	14.08	20.305	-0.499	7.53E-21	-20.1232050237993
RP11-631N16.2	ENSG00000257354.2	0.23	1.135	-0.796	2.65E-77	-76.5767541260632
FNTB	ENSG00000257365.7	12.59	13.055	-0.049	0.00237	-2.6252516539899
RP11-793H13.8	ENSG00000257379.1	1.215	3.19	-0.92	2.14E-39	-38.6695862266508
RP11-56G10.2	ENSG00000257386.1	3.285	0.655	1.373	0.000146	3.83564714421556
RP11-762I7.5	ENSG00000257390.5	0.985	0.505	0.399	8.66E-07	6.06248210798265
MIR3180-4	ENSG00000257391.1	0.2	0.13	0.087	1.69E-09	8.77211329538633
RP11-597A11.2	ENSG00000257395.1	0.295	0.24	0.063	0.948	0.023191662661934
RP11-554D14.6	ENSG00000257398.6	0.88	0.53	0.297	0.000597	3.22402566887063
RP11-263K4.3	ENSG00000257431.1	0	0.02	-0.029	4.12E-25	-24.3851027839669
RP1-197B17.3	ENSG00000257433.5	1.05	1.48	-0.275	5.2E-15	-14.2839966563652
RP11-81K13.1	ENSG00000257434.1	1.39	0.55	0.625	8.92E-10	9.04963514562388
RP11-150C16.1	ENSG00000257443.1	0.08	0	0.111	0.000392	3.40671393297954
ZNF878	ENSG00000257446.3	0.1	0.22	-0.149	5.23E-24	-23.2814983111327
RP11-121G22.3	ENSG00000257467.5	0.03	0.08	-0.068	0.0532	-1.27408836770495
RP11-175P13.3	ENSG00000257489.6	0.825	1.765	-0.599	6.54E-36	-35.1844222516757
RP11-474P2.4	ENSG00000257496.1	0.07	0.12	-0.066	0.000517	-3.28650945690606
RP11-585P4.5	ENSG00000257497.2	0.285	0.665	-0.374	2.33E-36	-35.632644078974
RP11-1016B18.1	ENSG00000257501.6	0.02	0.16	-0.186	3.57E-17	-16.4473317838878
RP11-536C10.7	ENSG00000257504.1	0.18	0.28	-0.117	0.0211	-1.67571754470231
RP11-762I7.4	ENSG00000257509.1	0.26	0.49	-0.242	2.63E-16	-15.5800442515102
RP11-278C7.1	ENSG00000257511.1	0.73	2.97	-1.198	1.95E-71	-70.7099653886375
NPIPB1P	ENSG00000257513.7	0.03	0.05	-0.028	7.17E-05	-4.1444808443322
RP11-203J24.9	ENSG00000257524.5	1.615	8.72	-1.894	3.48E-68	-67.4584207560534
RP11-20E24.1	ENSG00000257526.2	0.08	0	0.111	0.0326	1.48678239993206
MIR3179-3	ENSG00000257527.1	1.01	1.11	-0.07	0.278	-0.555955204081924
RPL36A-HNRNPH2	ENSG00000257529.5	0.51	0.205	0.326	1E-16	16
OR7E47P	ENSG00000257542.4	8.355	12.995	-0.581	4.13E-05	-4.3840499483436
RP11-321F8.4	ENSG00000257543.1	0.13	0.2	-0.087	0.117	-0.931814138253838
RP11-793H13.3	ENSG00000257550.1	0.25	0.18	0.083	1.2E-06	5.92081875395238
RP11-603J24.17	ENSG00000257553.1	7.99	6.85	0.196	4.38E-05	4.3585258894959
RP11-44N21.1	ENSG00000257556.1	1.53	3.71	-0.897	3.85E-41	-40.4145392704915
RP11-84G21.1	ENSG00000257557.2	0.54	0.645	-0.095	0.0019	-2.72124639904717
RP11-863H1.1	ENSG00000257568.1	0	0.03	-0.043	5.08E-13	-12.2941362877161
RP11-153M3.1	ENSG00000257576.1	0.315	0.27	0.05	6.28E-05	4.2020403562628
RP11-469H8.6	ENSG00000257588.1	0.09	0.12	-0.039	0.00651	-2.18641901143181
ZNF625	ENSG00000257591.5	2.855	2.935	-0.03	0.818	-0.087246696328677
GALNT4	ENSG00000257594.3	2.835	1.805	0.451	1.29E-05	4.88941028970075
RP3-473L9.4	ENSG00000257595.2	0.46	0.635	-0.163	0.0179	-1.74714696902011
RP11-968A15.2	ENSG00000257596.1	0.42	1.829	-0.995	3.03E-48	-47.5185573714977
OVCH1-AS1	ENSG00000257599.1	0.03	0.08	-0.068	0.002	-2.69897000433602
RP11-680A11.5	ENSG00000257605.2	0.645	2.105	-0.916	1.48E-48	-47.829738284605
RP11-449P15.1	ENSG00000257607.1	0.31	0.105	0.246	0.493	0.30715308072277
LINC01481	ENSG00000257613.1	0.15	0.255	-0.126	8.33E-12	-11.0793549985932
PSMA3-AS1	ENSG00000257621.7	21.621	48.955	-1.143	3.22E-47	-46.4921441283042
RP11-536C10.10	ENSG00000257635.2	0.1	0.285	-0.224	4.33E-08	-7.36351210364663
RP11-701H24.3	ENSG00000257647.1	0.32	0.49	-0.175	0.000395	-3.40340290437354
RP11-579D7.2	ENSG00000257653.1	3.265	0	2.093	8.4E-34	33.0757207139381
RP11-579D7.4	ENSG00000257660.5	2.02	0.66	0.863	1.58E-47	46.8013429130456
RP11-1100L3.7	ENSG00000257663.1	20.195	17.4	0.204	0.0076	2.11918640771921
RP3-416H24.1	ENSG00000257671.1	0.275	1.775	-1.122	1.97E-43	-42.7055337738384
RP11-341G23.4	ENSG00000257681.1	1.285	3.46	-0.965	1.27E-24	-23.896196279044
RP11-175P13.2	ENSG00000257696.1	0.25	0.26	-0.011	0.172	-0.764471553092451
RP11-620J15.3	ENSG00000257698.1	17.445	16.77	0.054	0.00914	2.03905380426617
LBX2-AS1	ENSG00000257702.3	0.525	0.785	-0.227	0.000516	-3.28735029837279
INAFM1	ENSG00000257704.3	9.725	22.694	-1.144	1.98E-46	-45.7033348097385
RP11-396F22.1	ENSG00000257718.1	0.16	0.3	-0.164	2.38E-11	-10.6234230429435
RP11-116D17.1	ENSG00000257726.1	0	0.03	-0.043	3.15E-24	-23.5016894462104
RP11-977G19.12	ENSG00000257740.1	0.58	0.71	-0.114	0.00349	-2.45717457304082
MGAM2	ENSG00000257743.8	0.02	0.03	-0.014	0.0139	-1.85698519974591
RP11-202G11.2	ENSG00000257746.1	0.03	0	0.043	1.24E-05	4.90657831483777
RP11-474L23.3	ENSG00000257752.1	0.04	0.16	-0.158	6.98E-42	-41.1561445773768
OR5BK1P	ENSG00000257763.1	0.06	0.18	-0.155	1.21E-33	-32.9172146296835
RP11-1143G9.4	ENSG00000257764.2	4.88	3.03	0.545	0.000297	3.52724355068279
ST13P3	ENSG00000257773.1	0.14	0.27	-0.156	3.5E-22	-21.4559319556497
RP11-2H8.4	ENSG00000257802.1	0.03	0.08	-0.068	1.95E-21	-20.7099653886375
RP11-603J24.14	ENSG00000257809.1	0.06	0.115	-0.073	1.67E-13	-12.7772835288524
LINC01481	ENSG00000257815.5	5.29	9.91	-0.795	7.4E-33	-32.130768280269
RP4-601P9.2	ENSG00000257817.1	0.145	0.28	-0.161	1.11E-10	-9.95467702121334
RP11-845M18.6	ENSG00000257829.1	0.06	0.205	-0.185	2.72E-22	-21.5654310959658
RP11-596D21.1	ENSG00000257831.1	0.01	0.03	-0.028	1.94E-14	-13.7121982700698
RP11-368J21.3	ENSG00000257838.5	0.11	0.13	-0.026	0.0171	-1.76700388960785
RP11-597A11.3	ENSG00000257846.2	0.045	0.06	-0.021	3.09E-09	-8.51004152057516
HNRNPA3P10	ENSG00000257851.2	0.1	0.07	0.04	9.09E-06	5.04143611677803
MED15P1	ENSG00000257853.2	0.03	0	0.043	9.65E-05	4.01547268665621
RP11-497G19.1	ENSG00000257883.1	0.02	0	0.029	6.35E-05	4.19722627470802
RP11-597A11.4	ENSG00000257884.2	0.635	0.33	0.298	0.0111	1.95467702121334
RP1-78O14.1	ENSG00000257894.2	0.14	0.315	-0.206	1.5E-36	-35.8239087409443
RP11-454K7.1	ENSG00000257900.2	0	0.07	-0.098	2.55E-12	-11.593459819566
RP11-386G11.5	ENSG00000257913.2	0.14	0.155	-0.019	0.641	-0.193141970481183
RP11-482D24.3	ENSG00000257918.1	0.05	0.06	-0.014	0.129	-0.889410289700751
RP11-571M6.15	ENSG00000257921.5	0.72	0.535	0.164	0.0672	1.17263072694617
RP11-290L1.4	ENSG00000257941.1	0.08	0.38	-0.354	1.14E-48	-47.9430951486635
TEN1	ENSG00000257949.6	34.21	28.525	0.254	6.58E-14	13.181774106386
P2RX5-TAX1BP3	ENSG00000257950.3	0.25	0.23	0.023	0.095	1.02227639471115
RP11-554D14.4	ENSG00000257951.1	0.02	0	0.029	0.000117	3.93181413825384
RP11-161H23.10	ENSG00000257954.1	0.07	0.1	-0.04	1.01E-05	-4.99567862621736
RP1-228P16.5	ENSG00000257955.1	0.02	0	0.029	1.86E-09	8.73048705578208
NOP56P3	ENSG00000257956.1	0.12	0	0.164	0.00146	2.83564714421556
QRSL1P3	ENSG00000257957.1	0.01	0.03	-0.028	5.91E-09	-8.22841251911875
RP11-133N21.10	ENSG00000257964.1	0	0.12	-0.164	5.54E-32	-31.2564902352716
RP1-288H2.2	ENSG00000257989.1	2.4	1.545	0.418	0.73	0.136677139879544
RP11-61E11.2	ENSG00000257999.1	0.075	0.055	0.027	0.0745	1.12784372725171
HMGA1P3	ENSG00000258011.2	0	0.125	-0.17	3.99E-08	-7.39902710431325
RP11-603K19.1	ENSG00000258012.1	0	0.03	-0.043	2.73E-28	-27.5638373529592
RP11-386G11.10	ENSG00000258017.1	37.34	34.136	0.126	0.401	0.396855627379818
OR5BT1P	ENSG00000258024.1	0	0.05	-0.07	3.36E-25	-24.4736607226102
NF1P4	ENSG00000258027.2	0.02	0	0.029	8.96E-05	4.04769199033788
RP11-493P1.2	ENSG00000258034.1	0	0.105	-0.144	1.51E-24	-23.8210230527068
Metazoa_SRP	ENSG00000258045.2	0.165	0	0.22	0.0269	1.57024771999759
RP11-644F5.11	ENSG00000258056.2	9.365	7.75	0.244	2.88E-12	11.5406075122408
RP11-293I14.2	ENSG00000258064.1	0.155	0	0.208	2.35E-05	4.62893213772826
RP11-554D14.2	ENSG00000258072.1	0.06	0	0.084	3.78E-05	4.42250820016278
RP11-734E19.1	ENSG00000258090.1	0.03	0	0.043	0.447	0.349692476868063
RP11-686G8.2	ENSG00000258099.1	0.85	0.485	0.317	4.99E-12	11.3018994543766
RP11-121E16.1	ENSG00000258100.1	0.03	0.06	-0.041	4.87E-08	-7.31247103878537
RP11-977B10.2	ENSG00000258101.2	0.17	0.26	-0.107	1.49E-09	-8.82681373158773
MAP1LC3B2	ENSG00000258102.3	1.605	1.78	-0.094	0.0114	-1.94309514866353
RP11-61A14.1	ENSG00000258122.1	0.09	0.155	-0.084	7.25E-07	-6.13966199342901
RP11-347C12.3	ENSG00000258130.7	0.825	1.605	-0.513	2.66E-15	-14.5751183633689
RP11-864J10.4	ENSG00000258136.1	0.06	0.165	-0.136	7.66E-30	-29.1157712303674
RP11-753H16.3	ENSG00000258137.5	0.17	1.085	-0.834	3.35E-65	-64.4749551929632
RP11-345J4.3	ENSG00000258150.5	0.31	0.425	-0.121	0.0239	-1.62160209905186
RP11-315E17.1	ENSG00000258162.2	0.11	0	0.151	1.34E-11	10.8728952016352
RP11-588H23.3	ENSG00000258168.5	0.04	0.395	-0.424	5.52E-77	-76.2580609222708
RP11-511B23.3	ENSG00000258171.1	0.14	0.05	0.119	7.64E-13	12.1169066414243
RP11-977G19.5	ENSG00000258199.1	2.33	4.025	-0.594	1.45E-11	-10.838631997765
RP11-478C19.2	ENSG00000258210.1	0.28	1.585	-1.014	9.32E-65	-64.030584087646
RP11-511H9.3	ENSG00000258230.2	0.08	0.495	-0.469	3.57E-46	-45.4473317838878
RP11-161H23.5	ENSG00000258232.2	52.864	29.969	0.799	5.87E-15	14.2313618987524
RP11-497G19.3	ENSG00000258249.1	0.34	0.09	0.298	1.1E-23	22.9586073148418
RP11-219B4.5	ENSG00000258256.1	0.04	0.055	-0.021	0.107	-0.97061622231479
RP11-887P2.5	ENSG00000258274.1	0.69	3.26	-1.334	1.72E-79	-78.7644715530925
LINC00592	ENSG00000258279.2	0	0.02	-0.029	0.117	-0.931814138253838
RP11-314D7.1	ENSG00000258294.5	0.03	0	0.043	2.67E-05	4.57348873863543
RP11-658F2.8	ENSG00000258297.1	10.945	21.165	-0.892	2.41E-25	-24.6179829574251
RP11-488C13.5	ENSG00000258301.3	6.84	9.665	-0.444	6.66E-13	-12.1765257708297
RP11-981P6.1	ENSG00000258302.2	0.2	0.815	-0.597	5.12E-56	-55.2907300390242
RP11-887P2.6	ENSG00000258303.1	0.04	0	0.057	0.808	0.092588639225414
RP11-554E23.2	ENSG00000258308.5	0	0.06	-0.084	5.94E-33	-32.2262135550188
RP11-644F5.10	ENSG00000258311.5	0.715	3.52	-1.398	2.33E-84	-83.632644078974
RP11-603J24.5	ENSG00000258317.1	0.15	0.44	-0.324	1.35E-28	-27.869666231505
RP4-816N1.6	ENSG00000258325.2	2.65	1.855	0.354	6.93E-17	16.1592667653882
RP11-161H23.9	ENSG00000258334.1	0.01	0.02	-0.014	2.12E-07	-6.67366413907125
RP11-968A15.8	ENSG00000258344.1	0	0.085	-0.118	1.11E-17	-16.9546770212133
RP11-23J18.1	ENSG00000258352.1	0.12	0.22	-0.123	7.15E-05	-4.14569395819892
MIR3180-1	ENSG00000258354.1	0.33	0.31	0.022	0.433	0.363512103646635
RP11-778J16.2	ENSG00000258357.1	0.02	0.03	-0.014	0.0053	-2.27572413039921
PCNPP1	ENSG00000258359.1	0.27	0.355	-0.093	4.79E-13	-12.3196644865854
RP11-1105G2.3	ENSG00000258365.1	0.485	1.14	-0.527	9.28E-20	-19.0324520237811
RTEL1	ENSG00000258366.7	5.33	12.665	-1.11	3.1E-51	-50.5086383061657
RP4-647C14.2	ENSG00000258376.2	0.23	0.765	-0.521	1.45E-65	-64.838631997765
RP11-649E7.5	ENSG00000258377.1	5.38	1.37	1.429	4.18E-12	11.378823718225
RP11-517O13.1	ENSG00000258378.1	0.07	0	0.098	0.0332	1.47886191629596
PPT2-EGFL8	ENSG00000258388.7	1.39	7.44	-1.82	1.05E-60	-59.9788107009301
MEG8	ENSG00000258399.6	0.06	0.835	-0.792	7.33E-84	-83.1348960253589
ZNF578	ENSG00000258405.9	0.49	1.29	-0.62	3.5E-37	-36.4559319556497
RP11-356O9.1	ENSG00000258414.1	14.705	6.744	1.02	8.17E-28	27.0877779434676
RP11-471B22.2	ENSG00000258424.1	0.17	1.03	-0.795	3.19E-51	-50.4962093169428
RBM8B	ENSG00000258427.3	0.43	0.375	0.057	0.000173	3.7619538968712
PDF	ENSG00000258429.1	5.72	4.495	0.29	2.8E-05	4.55284196865778
RP11-982M15.2	ENSG00000258430.1	48.494	43.075	0.167	5.55E-08	7.25570701687732
RP11-711D18.2	ENSG00000258435.1	0.05	0	0.07	0.00251	2.60032627851896
RP11-173A8.2	ENSG00000258439.1	0.06	0.12	-0.079	1.68E-09	-8.77469071827414
LINC00641	ENSG00000258441.1	1.8	5.795	-1.279	5.62E-87	-86.2502636844309
RP3-414A15.11	ENSG00000258443.1	0.05	0.16	-0.144	3.98E-42	-41.4001169279263
RP11-895M11.2	ENSG00000258446.1	0.14	0	0.189	2.61E-12	11.5833594926617
RP11-903H12.3	ENSG00000258451.1	0.03	0.05	-0.028	1.02E-08	-7.99139982823808
RP11-361H10.3	ENSG00000258454.1	0.06	0.13	-0.092	1.49E-14	-13.8268137315877
RP11-298I3.4	ENSG00000258457.5	0.455	0.52	-0.063	0.00665	-2.1771783546969
RP11-168L7.1	ENSG00000258460.1	0	0.08	-0.111	3.17E-32	-31.4989407377822
RP11-164J13.1	ENSG00000258461.5	0.64	5.165	-1.91	1.09E-76	-75.9625735020594
RP11-574F21.3	ENSG00000258465.6	0.09	0.12	-0.039	0.3	-0.522878745280338
RP11-1012A1.4	ENSG00000258466.5	1.77	0.38	1.005	3.13E-22	21.5044556624535
