Gene_name	EnsemblID	Median(Tumor)	Median(Normal)	log2FC	FDR
UBD	ENSG00000213886	37.676	4.31	2.865	1.88E-91
GALT	ENSG00000213930	19.58	41.46	-1.045	1.57E-65
RP11-314A20.1	ENSG00000213939	2.265	0.505	1.117	5.70E-109
ITGA1	ENSG00000213949	4.13	31.756	-2.675	1.30E-225
ZNF90	ENSG00000213988	0.65	3.27	-1.372	6.31E-68
GANC	ENSG00000214013	8.325	21.635	-1.279	5.22E-137
TTLL3	ENSG00000214021	7.36	56.279	-2.776	1.47E-175
TSPAN4	ENSG00000214063	24.445	128.974	-2.353	8.17E-185
PRCD	ENSG00000214140	1.44	6.01	-1.523	1.64E-104
PLEKHM1P	ENSG00000214176	5.565	21.245	-1.761	8.20E-123
PTMAP5	ENSG00000214182	9.47	3.58	1.193	2.54E-55
HNRNPA1P10	ENSG00000214223	7.645	2.35	1.368	1.33E-121
SCART1	ENSG00000214279	0.495	2.08	-1.043	6.96E-71
RPS3AP26	ENSG00000214389	16.12	7.235	1.056	8.42E-54
LCNL1	ENSG00000214402	0.09	3.535	-2.057	2.86E-175
PLIN5	ENSG00000214456	0.58	10.28	-2.836	6.06E-204
SEC14L6	ENSG00000214491	0.365	5.77	-2.31	1.08E-174
KRT42P	ENSG00000214514	1.94	0.15	1.354	8.20E-63
PPME1	ENSG00000214517	42.15	19.625	1.065	2.85E-105
MEG3	ENSG00000214548	4.44	41.314	-2.959	2.01E-95
HMGN2P15	ENSG00000214578	0.935	5.275	-1.697	1.90E-81
RP11-27I1.4	ENSG00000214654	3.265	1.09	1.029	1.60E-84
ZSWIM8	ENSG00000214655	42.79	123.079	-1.503	2.82E-125
SEPT7P2	ENSG00000214765	5.14	19.01	-1.704	3.16E-130
MS4A4E	ENSG00000214787	0.265	2.03	-1.26	6.49E-118
RP11-480I12.5	ENSG00000214796	2.84	0.9	1.015	6.34E-57
HLA-F-AS1	ENSG00000214922	1.275	5.415	-1.496	1.02E-126
NEURL4	ENSG00000215041	8.545	22.44	-1.296	4.98E-78
GOLGA8B	ENSG00000215252	9.95	56.982	-2.405	5.26E-91
MIR99AHG	ENSG00000215386	2.04	5.17	-1.021	1.09E-36
NPEPL1	ENSG00000215440	21.105	55.17	-1.345	6.33E-75
GUSBP9	ENSG00000215630	1.255	5.58	-1.545	1.46E-111
RP13-104F24.2	ENSG00000215769	2.745	23.4	-2.704	2.19E-168
FAM72D	ENSG00000215784	2.765	0.45	1.377	7.69E-143
WI2-1896O14.1	ENSG00000215861	1.955	8.025	-1.611	2.90E-112
MMP23A	ENSG00000215914	2.805	15.66	-2.13	1.57E-118
RP1-152L7.5	ENSG00000216775	6.17	1.735	1.39	2.34E-54
RPS2P55	ENSG00000216866	5.165	0.72	1.842	2.64E-195
RP11-204C16.4	ENSG00000217624	4.035	0.275	1.982	4.80E-197
RP11-889L3.1	ENSG00000218227	2.475	6.215	-1.054	1.59E-74
FAM228B	ENSG00000219626	5.3	12.825	-1.134	5.31E-91
RP11-40C6.2	ENSG00000219928	727.27	1.89	7.977	5.02E-242
VAMP2	ENSG00000220205	25.48	90.465	-1.788	1.04E-207
PKMP3	ENSG00000220563	0.23	1.465	-1.003	3.43E-146
MTMR9LP	ENSG00000220785	1.755	18.1	-2.793	1.46E-197
MAGEA3	ENSG00000221867	2.65	0	1.868	5.45E-62
ZNF880	ENSG00000221923	4.005	9.945	-1.129	1.75E-57
TRIM16	ENSG00000221926	45.551	16.085	1.446	8.17E-75
SLC12A8	ENSG00000221955	15.825	3.945	1.767	6.49E-152
FADS3	ENSG00000221968	13.955	67.714	-2.2	8.81E-154
MYBPHL	ENSG00000221986	0.11	1.31	-1.057	1.92E-60
IGLC6	ENSG00000222037	1.895	0.37	1.079	2.61E-36
RN7SKP16	ENSG00000222112	0.335	3.065	-1.606	6.98E-125
RNU2-2P	ENSG00000222328	0.915	3.96	-1.373	7.71E-12
IGLV9-49	ENSG00000223350	7.545	2.275	1.384	2.83E-20
FTH1P10	ENSG00000223361	2.405	6.63	-1.164	1.03E-76
RP11-211G3.2	ENSG00000223401	0.13	2.335	-1.561	4.32E-143
RP11-632K20.7	ENSG00000223509	2.845	14.08	-1.972	6.69E-125
HLA-DQB1-AS1	ENSG00000223534	0.36	3.505	-1.728	4.23E-77
TMSB4XP4	ENSG00000223551	0.66	4.145	-1.632	1.51E-171
RP11-24F11.2	ENSG00000223552	0.11	1.4	-1.113	1.24E-190
TINCR	ENSG00000223573	5.015	1.565	1.23	8.20E-47
RP11-289I10.2	ENSG00000223612	8.945	1.99	1.734	9.97E-128
NSUN5P1	ENSG00000223705	13.97	35.53	-1.287	9.20E-43
RP4-717I23.3	ENSG00000223745	6.82	27.24	-1.852	1.56E-103
TSSC2	ENSG00000223756	0.61	4.81	-1.851	1.66E-145
IL10RB-AS1	ENSG00000223799	2.68	6.695	-1.064	4.71E-126
RPS20P14	ENSG00000223803	0.66	3.05	-1.287	2.30E-94
FAM95B1	ENSG00000223839	0.615	5.465	-2.001	1.63E-108
IGKV3D-15	ENSG00000224041	9.95	0.495	2.873	1.50E-70
SNHG14	ENSG00000224078	5.695	23.16	-1.851	9.16E-131
UBE2SP2	ENSG00000224126	17.085	0.3	3.798	0
RP11-371A19.2	ENSG00000224215	0.04	2.085	-1.569	1.65E-175
LINC01133	ENSG00000224259	8.975	0.43	2.802	7.17E-81
MSL3P1	ENSG00000224287	4.66	0.33	2.089	2.61E-177
RP11-344B5.2	ENSG00000224307	0.92	3.81	-1.325	9.07E-78
IGHV4-59	ENSG00000224373	80.225	18.685	2.045	1.50E-29
PRR29	ENSG00000224383	0.79	8.205	-2.362	2.02E-171
LINC01272	ENSG00000224397	5.54	33.771	-2.411	7.07E-179
SNRPGP15	ENSG00000224543	1.995	8.965	-1.734	3.68E-83
RP11-51O6.1	ENSG00000224631	47.5	23.165	1.005	6.84E-93
IGHV3-74	ENSG00000224650	22.945	7.635	1.471	6.88E-20
LINC00885	ENSG00000224652	2.47	0.16	1.581	5.52E-112
SH3BP5-AS1	ENSG00000224660	1.555	18.82	-2.956	3.47E-233
ZNF812	ENSG00000224689	2.045	0.47	1.051	2.07E-44
NPIPA3	ENSG00000224712	2.56	8.555	-1.424	5.22E-76
RPL32P1	ENSG00000224796	0.11	1.8	-1.335	9.07E-117
RP11-651P23.4	ENSG00000224831	9.985	3.505	1.286	1.04E-117
GCSHP5	ENSG00000224837	22.715	8.51	1.318	7.50E-112
RP11-82L18.2	ENSG00000224945	0.995	11.92	-2.695	3.33E-217
PGM5-AS1	ENSG00000224958	0	1.445	-1.29	1.65E-213
RP1-278O22.1	ENSG00000224961	1.685	0.18	1.186	3.66E-74
INE1	ENSG00000224975	1.11	4.46	-1.372	1.98E-113
RP11-524H19.2	ENSG00000224984	2.035	0	1.602	4.39E-128
RP11-228B15.4	ENSG00000225032	0.725	9.365	-2.587	2.07E-196
LINC00092	ENSG00000225194	0.245	2.025	-1.281	6.11E-103
HSPA7	ENSG00000225217	3.105	14.885	-1.952	2.55E-72
RP11-415J8.3	ENSG00000225313	1.72	13.72	-2.436	3.36E-151
LHFPL3-AS2	ENSG00000225329	0.38	3.204	-1.607	1.12E-57
RP11-513I15.6	ENSG00000225339	5.34	13.3	-1.174	1.22E-68
SFTA1P	ENSG00000225383	2.145	75.766	-4.609	1.95E-249
RP11-396C23.2	ENSG00000225518	1.965	0.42	1.062	1.85E-88
IGKV6D-21	ENSG00000225523	3.34	0.995	1.121	1.42E-20
RPL35P5	ENSG00000225573	8.3	2.895	1.256	5.39E-83
MTND2P28	ENSG00000225630	127.45	289.094	-1.175	1.80E-25
SBDSP1	ENSG00000225648	17.89	37.75	-1.037	9.35E-96
SLC26A6	ENSG00000225697	10.42	26.425	-1.264	1.79E-53
FAM229A	ENSG00000225828	1.26	9.805	-2.257	4.10E-149
RUSC1-AS1	ENSG00000225855	3.56	14.38	-1.754	1.76E-92
HCG4P11	ENSG00000225864	0.32	2.65	-1.467	1.97E-104
LINC00694	ENSG00000225873	0.11	3.185	-1.915	8.12E-251
LINC00115	ENSG00000225880	1.05	3.245	-1.05	1.46E-62
RP11-384K6.2	ENSG00000225892	2.605	8.59	-1.411	2.04E-95
MTND1P23	ENSG00000225972	3.725	9.535	-1.157	9.17E-23
ZNF503-AS1	ENSG00000226051	0.405	3.18	-1.573	9.06E-92
MEMO1P1	ENSG00000226054	2.39	0.67	1.021	1.24E-166
RP4-706A16.3	ENSG00000226084	60.719	24.255	1.289	9.99E-61
UQCRFS1P1	ENSG00000226085	3.755	1.175	1.128	1.59E-56
LINC00937	ENSG00000226091	0.55	4.13	-1.727	7.52E-114
RP1-137D17.1	ENSG00000226194	0.305	2.08	-1.239	5.19E-111
RP11-419C5.2	ENSG00000226232	2.305	13.915	-2.174	2.12E-127
RP1-18D14.7	ENSG00000226252	0.01	1.53	-1.325	2.99E-194
RP11-61N20.3	ENSG00000226268	6.96	1.215	1.845	2.52E-155
RP11-157P1.4	ENSG00000226332	2.84	10.195	-1.544	4.94E-62
HAGLROS	ENSG00000226363	2.495	0.11	1.655	6.00E-120
RP5-1056L3.3	ENSG00000226396	1.45	4.699	-1.218	1.22E-56
RP11-379B8.1	ENSG00000226453	2.255	0.21	1.428	8.44E-119
RP11-776H12.1	ENSG00000226476	1.09	0.02	1.035	1.09E-140
TMEM185B	ENSG00000226479	21.05	9.91	1.015	3.22E-91
FTLP3	ENSG00000226608	5.395	23.889	-1.96	1.36E-120
LENG8-AS1	ENSG00000226696	2.635	7.97	-1.303	2.66E-66
HSBP1L1	ENSG00000226742	14.545	30.415	-1.015	1.47E-70
TBCAP1	ENSG00000226781	2.435	0.31	1.391	1.24E-135
ERVMER34-1	ENSG00000226887	3.675	0.625	1.525	1.10E-100
LINC00511	ENSG00000227036	32.82	1.5	3.758	1.57E-270
ITGB2-AS1	ENSG00000227039	1.15	7.22	-1.935	1.17E-107
RPS28P7	ENSG00000227097	942.336	320.292	1.554	1.89E-113
TRGC2	ENSG00000227191	2.015	8.635	-1.676	4.59E-87
PFN1P6	ENSG00000227212	0.58	3.45	-1.494	5.33E-100
RP11-261C10.5	ENSG00000227230	0.13	1.55	-1.174	7.48E-153
WASH7P	ENSG00000227232	3.395	15.885	-1.942	2.65E-123
KRT16P2	ENSG00000227300	1.05	3.705	-1.198	5.17E-25
RP11-258C19.4	ENSG00000227329	0	1.985	-1.578	9.15E-28
TP73-AS1	ENSG00000227372	6.71	16.5	-1.183	9.14E-91
LINC01268	ENSG00000227502	0.1	1.865	-1.381	8.39E-143
SPAG5-AS1	ENSG00000227543	1.06	3.47	-1.118	1.28E-94
RP1-28O10.1	ENSG00000227591	0.42	1.9	-1.03	1.50E-83
RP11-864N7.2	ENSG00000227615	2.9	7.24	-1.079	5.74E-68
SOX21-AS1	ENSG00000227640	2.52	0.04	1.759	2.02E-123
HIGD1AP11	ENSG00000227644	0	1.03	-1.021	7.47E-67
RP11-488L18.4	ENSG00000227671	15.055	67.615	-2.096	1.32E-129
HCG4P5	ENSG00000227766	1.515	5.68	-1.409	5.02E-52
RP1-283E3.4	ENSG00000227775	1.875	5.375	-1.149	7.90E-73
TARID	ENSG00000227954	0.09	5.345	-2.541	1.01E-228
GEMIN8P4	ENSG00000228175	2.105	0.475	1.074	1.15E-132
GAPDHP1	ENSG00000228232	2.505	0.645	1.091	1.52E-110
MT-ATP8	ENSG00000228253	7036.537	20783.484	-1.562	1.41E-65
ORM2	ENSG00000228278	0.54	2.42	-1.151	4.52E-20
PCAT6	ENSG00000228288	7.705	1.38	1.871	6.21E-156
GUSBP11	ENSG00000228315	4.245	22.604	-2.17	2.27E-115
RP11-251M1.1	ENSG00000228401	0.17	8.345	-2.998	7.76E-276
RP3-342P20.2	ENSG00000228477	0.59	3.845	-1.607	2.75E-83
LINC01125	ENSG00000228486	1.66	12.69	-2.364	8.15E-169
RAB11FIP1P1	ENSG00000228492	1.39	4.675	-1.248	3.02E-98
RP1-241P17.4	ENSG00000228532	31.9	3.245	2.954	1.06E-155
RP3-340B19.3	ENSG00000228559	0.08	1.225	-1.043	3.61E-101
RP5-1160K1.6	ENSG00000228703	0.36	2.82	-1.49	1.65E-128
SRGAP3-AS2	ENSG00000228723	0.08	1.25	-1.059	4.43E-35
SAPCD1	ENSG00000228727	1.36	4.695	-1.271	6.18E-50
FAM207BP	ENSG00000228797	1.565	0.25	1.037	7.07E-148
RP11-567G11.1	ENSG00000228952	1.765	0	1.467	2.02E-84
OR2A9P	ENSG00000228960	3.75	10.03	-1.215	9.20E-67
VDAC1P8	ENSG00000229036	1.105	5.02	-1.516	1.53E-130
VIM-AS1	ENSG00000229124	1.52	4.275	-1.066	6.77E-71
GS1-124K5.11	ENSG00000229180	0.94	3.77	-1.298	2.74E-160
HMGN1P37	ENSG00000229237	4.3	0	2.406	2.59E-205
RP11-483F11.7	ENSG00000229278	1.215	0	1.147	2.73E-83
ORM1	ENSG00000229314	1.585	9.044	-1.958	5.46E-49
RP11-274B21.12	ENSG00000229413	9.52	24.665	-1.287	9.59E-65
SFTA3	ENSG00000229415	3.84	131.789	-4.778	1.58E-156
PATL2	ENSG00000229474	1	5.725	-1.75	1.81E-129
PRDX3P1	ENSG00000229598	0.35	1.91	-1.108	1.22E-94
RP11-481H12.1	ENSG00000230018	0.28	3.87	-1.928	2.16E-154
TMSB4XP6	ENSG00000230043	0	65.025	-6.045	1.48E-78
TRPM2-AS	ENSG00000230061	3.035	0.08	1.902	2.08E-98
RP3-508I15.19	ENSG00000230149	0.79	3.79	-1.42	2.42E-112
RP11-632C17__A.1	ENSG00000230202	5.48	14.03	-1.214	9.12E-53
PHBP9	ENSG00000230224	0.45	2.24	-1.16	7.37E-132
FEZF1-AS1	ENSG00000230316	2.175	0.07	1.569	8.33E-83
GOLGA6L5P	ENSG00000230373	2.46	15.2	-2.227	2.13E-131
TCEA1P2	ENSG00000230409	6.975	1.4	1.732	2.41E-117
RP5-902P8.10	ENSG00000230415	0.51	2.3	-1.128	6.56E-70
LIMD1-AS1	ENSG00000230530	6.85	24.685	-1.71	1.02E-216
RP11-305L7.1	ENSG00000230537	0.2	1.64	-1.138	5.20E-166
PABPC1P3	ENSG00000230673	0.37	1.96	-1.111	3.50E-100
RP11-274B21.4	ENSG00000230715	9.6	34.735	-1.753	3.14E-100
LINC01001	ENSG00000230724	16.49	34.915	-1.038	7.26E-35
FOXD3-AS1	ENSG00000230798	1.885	0	1.529	1.21E-95
RP3-525N10.2	ENSG00000230910	0.06	6.125	-2.749	5.55E-214
MIR205HG	ENSG00000230937	129.359	0.645	6.308	8.32E-235
RP11-367G18.1	ENSG00000230943	6.725	0.14	2.76	9.24E-145
RP4-631H13.6	ENSG00000230953	0	1.92	-1.546	7.50E-24
RP11-263K19.4	ENSG00000231064	1.78	7.825	-1.667	2.05E-140
KLF3-AS1	ENSG00000231160	0.7	3.485	-1.4	1.45E-93
RPL13AP17	ENSG00000231322	0.07	1.56	-1.259	2.25E-70
HLA-DPA1	ENSG00000231389	153.659	337.185	-1.129	1.04E-46
IGHV4-31	ENSG00000231475	25.985	2.815	2.822	7.55E-50
LINC-PINT	ENSG00000231721	2.95	22.554	-2.576	2.20E-224
RP11-229P13.23	ENSG00000231864	1.195	0	1.134	1.71E-76
PGM5P4-AS1	ENSG00000231943	0.06	1.45	-1.209	2.94E-177
RP11-67C2.2	ENSG00000231964	0.14	3.17	-1.871	2.63E-183
LSM12P1	ENSG00000232024	18.845	5.125	1.696	2.55E-144
IMPDH1P10	ENSG00000232133	0.83	4.725	-1.645	2.88E-137
FERP1	ENSG00000232149	0.42	2.18	-1.163	2.14E-115
RP11-311P8.2	ENSG00000232186	0.17	1.375	-1.021	3.78E-148
IGHV3-43	ENSG00000232216	14.245	1.875	2.407	6.13E-46
RP11-154D6.1	ENSG00000232295	0.19	2.28	-1.463	2.10E-147
SEMA3B-AS1	ENSG00000232352	0.2	2.23	-1.429	2.42E-158
VIPR1-AS1	ENSG00000232354	0.24	10.39	-3.199	6.81E-214
RP11-132A1.4	ENSG00000232445	3.53	0.32	1.779	4.23E-105
GOLGA8N	ENSG00000232653	1.565	9.935	-2.092	9.87E-181
LINC00665	ENSG00000232677	10.26	4.395	1.062	1.22E-21
SLCO4A1-AS1	ENSG00000232803	0.19	2.12	-1.391	3.92E-74
RP11-536K7.3	ENSG00000232807	1.09	7.55	-2.032	2.92E-222
LINC00342	ENSG00000232931	2.58	11.495	-1.803	8.02E-91
RP11-324O2.3	ENSG00000232934	0.21	2.87	-1.677	3.70E-210
SNHG7	ENSG00000233016	21.385	59.697	-1.439	6.37E-78
RP11-1212A22.4	ENSG00000233024	48.381	155.308	-1.662	5.31E-89
HOXB-AS3	ENSG00000233101	1.92	9.515	-1.848	7.03E-117
LINC00702	ENSG00000233117	0.265	2.905	-1.626	7.27E-176
LINC00472	ENSG00000233237	0.195	4.435	-2.185	4.10E-241
USP32P2	ENSG00000233327	0.55	3.22	-1.445	3.86E-37
HOTAIRM1	ENSG00000233429	9.59	26.5	-1.377	2.14E-50
RP11-295G20.2	ENSG00000233461	19.145	5.735	1.581	1.82E-90
TWIST2	ENSG00000233608	2.515	9.18	-1.534	9.91E-82
RP11-62H7.2	ENSG00000233609	0.21	1.965	-1.293	1.45E-158
GAS6-AS1	ENSG00000233695	0.395	2.025	-1.117	6.31E-73
RP11-255H23.2	ENSG00000233836	1.07	3.92	-1.249	2.06E-74
LINC01503	ENSG00000233901	21.995	7.29	1.472	2.11E-80
Z83851.4	ENSG00000233903	2.34	0.37	1.286	6.67E-152
MT1XP1	ENSG00000233929	0	1.33	-1.22	6.96E-28
UBE2SP1	ENSG00000233966	5.785	0.54	2.139	2.04E-190
RP11-250B2.3	ENSG00000233967	0.435	1.95	-1.04	1.82E-81
IGKV3OR2-268	ENSG00000233999	3.985	0.3	1.939	4.56E-62
LANCL1-AS1	ENSG00000234281	0.07	2.945	-1.882	4.62E-129
H2BFS	ENSG00000234289	8.27	2.62	1.357	2.10E-81
ZNF37BP	ENSG00000234420	2.15	8.63	-1.612	6.22E-112
MAGI2-AS3	ENSG00000234456	2.965	24.19	-2.667	1.53E-231
LINC01506	ENSG00000234506	0.265	2.495	-1.466	5.44E-131
RP11-465N4.4	ENSG00000234678	5.255	2.025	1.048	4.13E-68
RP11-166B2.1	ENSG00000234719	2.345	9.565	-1.659	4.00E-103
HLA-B	ENSG00000234745	966.549	2104.336	-1.122	9.82E-54
TPT1P9	ENSG00000234782	0.36	1.79	-1.037	5.37E-127
RP11-124N14.3	ENSG00000234961	0.305	1.77	-1.086	5.29E-136
FABP5P7	ENSG00000234964	177.293	78.473	1.166	4.79E-41
SEMA3F-AS1	ENSG00000235016	0.555	4.2	-1.742	3.46E-206
RP11-61I13.3	ENSG00000235033	0.435	5.9	-2.265	1.17E-201
TECRP1	ENSG00000235043	8.765	2.675	1.41	3.71E-111
SUMO1P3	ENSG00000235082	4.975	1.47	1.274	2.33E-81
RPL39P3	ENSG00000235174	822.401	310.348	1.403	2.43E-68
PPP1R3E	ENSG00000235194	5.645	13.845	-1.16	4.33E-46
SUMO2P1	ENSG00000235238	9.81	2.07	1.816	1.03E-72
RP11-122K13.12	ENSG00000235245	0.88	4.66	-1.59	1.84E-122
FAM103A2P	ENSG00000235272	10.51	3.53	1.345	3.98E-58
RP11-70C1.3	ENSG00000235288	6.235	0.345	2.427	5.20E-23
RP11-575L7.8	ENSG00000235298	1.265	4.705	-1.333	7.26E-69
SNRPGP10	ENSG00000235363	3.925	16.45	-1.825	1.58E-76
RP11-206L10.3	ENSG00000235373	1.01	4.505	-1.453	2.24E-90
LINC00961	ENSG00000235387	0.32	3.49	-1.766	4.60E-209
RP4-639F20.1	ENSG00000235501	2.28	11.6	-1.942	1.95E-149
RP11-693N9.2	ENSG00000235505	3.85	19.98	-2.113	1.01E-177
RPS2P7	ENSG00000235508	0.59	3.115	-1.372	3.79E-99
NFAM1	ENSG00000235568	1.79	6.91	-1.503	1.64E-96
POU5F1P3	ENSG00000235602	0.21	1.725	-1.171	5.57E-128
NUS1P1	ENSG00000235636	4.135	0.93	1.412	4.51E-126
H3F3AP4	ENSG00000235655	332.785	152.402	1.122	1.24E-82
LINC00894	ENSG00000235703	1.155	8.155	-2.087	1.83E-119
HMGN1P36	ENSG00000235734	3.145	0	2.051	1.74E-184
KIAA0040	ENSG00000235750	9.84	39.91	-1.916	1.02E-155
LINC01564	ENSG00000235899	1.685	0.09	1.301	3.44E-77
RP1-159A19.3	ENSG00000235912	0.87	3.49	-1.264	6.46E-42
RP11-215A21.2	ENSG00000236058	2.785	0.37	1.466	7.00E-156
HSPB1P1	ENSG00000236060	27.46	0.485	4.26	2.54E-220
MYO16-AS1	ENSG00000236242	0	1.23	-1.157	1.14E-144
TRHDE-AS1	ENSG00000236333	0.01	2.085	-1.611	3.45E-156
LINC00854	ENSG00000236383	0.96	4.68	-1.535	2.67E-156
RP11-175B9.3	ENSG00000236439	2.47	19.885	-2.589	1.92E-147
PITPNA-AS1	ENSG00000236618	16.105	5.705	1.351	1.75E-115
RP11-411K7.1	ENSG00000236740	1.815	0.06	1.409	4.58E-93
RPL24P8	ENSG00000236801	1.05	5.375	-1.637	8.11E-124
LINC00106	ENSG00000236871	0.655	3.98	-1.589	1.17E-91
RP4-669L17.10	ENSG00000237094	16.28	39.03	-1.212	3.08E-42
ZNF503-AS2	ENSG00000237149	5.115	1.95	1.052	7.72E-77
NR2F1-AS1	ENSG00000237187	5.255	13.245	-1.187	1.21E-83
LINC00987	ENSG00000237248	0.705	2.67	-1.106	3.09E-69
SMG1P1	ENSG00000237296	3.91	9.25	-1.062	1.88E-63
TTN-AS1	ENSG00000237298	5.945	17.64	-1.424	4.72E-105
RGL2	ENSG00000237441	34.06	86.201	-1.315	2.54E-80
RP11-356I2.4	ENSG00000237499	1.28	4.145	-1.174	1.38E-90
RP11-690I21.1	ENSG00000237641	0.44	1.885	-1.002	4.38E-78
RP11-462G2.1	ENSG00000237643	0.185	1.87	-1.276	1.10E-33
KIFC1	ENSG00000237649	21.49	1.755	3.029	3.18E-258
HCG4P3	ENSG00000237669	0.385	1.985	-1.108	2.61E-118
RP11-54A4.2	ENSG00000237781	0.065	1.135	-1.003	1.99E-152
PHKA2-AS1	ENSG00000237836	0.27	2.08	-1.278	8.23E-138
LINC00649	ENSG00000237945	4.845	1.51	1.22	7.44E-111
KCNMB2-AS1	ENSG00000237978	11.965	0	3.697	2.66E-240
PTENP1	ENSG00000237984	3.61	1.03	1.183	9.03E-78
OR2I1P	ENSG00000237988	2.71	0.51	1.297	1.92E-44
RPL35P1	ENSG00000237991	3.16	0.69	1.3	5.40E-105
PAGR1	ENSG00000238045	5.27	13.17	-1.176	4.00E-82
ZEB2-AS1	ENSG00000238057	0.24	3.06	-1.711	3.49E-246
LRRC37A2	ENSG00000238083	5.745	13.935	-1.147	4.54E-69
GOLGA2P5	ENSG00000238105	1.715	6.85	-1.532	1.41E-81
RP3-395M20.8	ENSG00000238164	1.55	14.705	-2.623	2.06E-209
SNORD10	ENSG00000238917	0	4.8	-2.536	3.85E-09
NCK1-AS1	ENSG00000239213	8.71	2.46	1.489	1.53E-142
RP11-464D20.2	ENSG00000239246	4.3	0.78	1.574	5.90E-125
RPL23AP1	ENSG00000239257	0.825	6.89	-2.112	3.87E-194
RP11-384F7.2	ENSG00000239268	0	1.99	-1.58	5.38E-191
GATSL3	ENSG00000239282	6.405	14.84	-1.097	1.89E-60
TMED10P2	ENSG00000239405	0.085	1.345	-1.112	2.06E-127
KLHL41	ENSG00000239474	0.12	1.32	-1.051	3.12E-122
IGKV2D-30	ENSG00000239571	2.255	0.33	1.291	1.80E-31
RP11-295P9.3	ENSG00000239665	5.195	27.124	-2.183	5.89E-141
NME1	ENSG00000239672	167.526	31.4	2.379	2.70E-172
TNFSF12	ENSG00000239697	15.965	67.241	-2.008	4.67E-186
RP4-800G7.1	ENSG00000239719	1.58	0	1.367	2.44E-30
MRPS17	ENSG00000239789	18.235	7.68	1.148	1.39E-110
IGKV1D-8	ENSG00000239819	1.82	0.17	1.269	6.58E-50
IGKV1-6	ENSG00000239855	30.765	8.36	1.763	5.67E-26
RN7SL608P	ENSG00000239884	1.32	7.165	-1.815	4.92E-103
IGKV3-20	ENSG00000239951	797.587	132.329	2.582	9.46E-41
IGKV1D-33	ENSG00000239975	9.545	0	3.398	1.92E-85
LILRA2	ENSG00000239998	1.31	9.35	-2.164	1.37E-173
LY6G5B	ENSG00000240053	2.965	22.6	-2.573	7.88E-152
RP11-657O9.1	ENSG00000240086	1.115	0	1.081	1.96E-84
PCDHGC3	ENSG00000240184	29.325	95.18	-1.665	2.87E-128
SMKR1	ENSG00000240204	2.83	0.455	1.396	1.77E-67
RP11-430C7.5	ENSG00000240219	0.18	1.445	-1.051	2.08E-85
RP11-146D12.2	ENSG00000240240	0.27	2.18	-1.324	1.23E-105
RP11-499P20.2	ENSG00000240291	0.63	3.06	-1.317	1.26E-120
IGKV1-17	ENSG00000240382	91.932	16.824	2.382	3.20E-33
IGKV1-8	ENSG00000240671	59.663	11.105	2.325	6.69E-37
PNMA2	ENSG00000240694	0.67	4.695	-1.77	3.12E-173
RP5-890O3.9	ENSG00000240731	2.59	7.995	-1.325	3.52E-78
KRBOX1	ENSG00000240747	0.53	2.16	-1.046	4.64E-15
TMEM189	ENSG00000240849	79.55	31.97	1.289	3.01E-116
IGKV1-16	ENSG00000240864	65.7	13.65	2.187	7.47E-29
MIF	ENSG00000240972	785.489	226.944	1.787	1.16E-121
RP11-244H3.1	ENSG00000241014	0.715	3.465	-1.38	4.30E-174
RP11-147I3.1	ENSG00000241170	1.41	5.49	-1.429	5.06E-69
IGKV1D-16	ENSG00000241244	7.004	1.575	1.636	2.77E-27
IGKV2-24	ENSG00000241294	40.215	12.385	1.623	4.52E-17
IGKV3-11	ENSG00000241351	1039.95	168.189	2.621	1.51E-44
RPL37P6	ENSG00000241431	2.47	0	1.795	1.08E-135
IDS	ENSG00000241489	2.985	10.895	-1.578	4.18E-70
PSMC1P1	ENSG00000241506	34.744	12.46	1.409	2.12E-128
UGT1A1	ENSG00000241635	1.36	0.005	1.232	1.04E-77
INMT	ENSG00000241644	2.365	191.559	-5.839	0.00E+00
IGKV1-9	ENSG00000241755	101.673	19.545	2.321	7.33E-34
LINC00893	ENSG00000241769	2.27	18.15	-2.55	6.23E-127
SPRR2A	ENSG00000241794	76.034	0.41	5.772	2.49E-118
PLEKHO2	ENSG00000241839	13.415	42.685	-1.6	3.35E-156
RP11-34P13.13	ENSG00000241860	5.145	12.71	-1.158	2.27E-39
RP11-242C19.2	ENSG00000241886	0.11	1.385	-1.103	1.31E-135
TCEB1P19	ENSG00000241975	1.395	5.495	-1.439	8.02E-113
IGKV1-33	ENSG00000242076	276.416	44.569	2.606	1.55E-40
MTFP1	ENSG00000242114	27.71	11.83	1.162	1.61E-78
SNHG3	ENSG00000242125	14.425	30.605	-1.035	6.52E-32
PEG10	ENSG00000242265	7.785	21.174	-1.336	1.59E-22
STAG3L5P	ENSG00000242294	10.26	22.585	-1.067	3.58E-25
NPPA-AS1	ENSG00000242349	0.5	5.7	-2.159	2.16E-167
IGKV1-39	ENSG00000242371	5.72	1.715	1.308	7.10E-21
UGT1A10	ENSG00000242515	2.06	0	1.613	2.62E-61
IGKV2D-28	ENSG00000242534	63.346	2.17	4.343	6.91E-86
HLA-DMB	ENSG00000242574	45.155	96.268	-1.075	6.21E-34
RP11-274B21.14	ENSG00000242588	3.125	10.405	-1.467	1.87E-91
MBL1P	ENSG00000242600	0.26	3.71	-1.902	2.99E-170
RP11-302F12.1	ENSG00000242640	0	11.225	-3.612	7.86E-80
