Gene_name	Description	Tumor	Normal
TMEM177		11.75	3.52
ZC3H8		9.63	3985
GPR17		0.08	6.27
POLR2D		24965	8785
SCN1A		0.08	2115
KIAA1715		11265	4.8
ZNF385B		0.77	17.13
HSPD1		246312	113783
KANSL1L		3.71	13375
FANCD2		11.03	4.02
STK11IP		12075	26005
RBMS3		1.74	11645
FAM198A		0.48	4.25
ITGA9		1615	6265
STAC		735	5665
IQSEC1		8535	27899
PTPRG		4525	14605
LIMD1		4.85	17145
NFKBIZ		12.25	54685
PLA1A		1315	18.39
IGSF11		2505	0.14
SRPRB		65874	21.59
TMEM108		1.71	10535
TRPC1		1.35	3785
NICN1		4.41	17935
UCN2		1.87	0.14
ILDR1		5.61	1.85
SLIT2		2.88	32675
OCIAD2		119639	28.4
PLAC8		13325	43969
USP53		6.4	33115
SFRP2		83704	30079
ROPN1L		0.57	3.36
NDUFS6		98.07	39871
NKD2		10435	70.37
SRD5A1		13.68	2.66
FAM105A		3.6	25.29
RPL37		2824147	1306009
SKP2		21201	4.31
PIK3R1		10315	30605
IQGAP2		3895	11985
RNF145		52019	105287
TENM2		3395	0.27
KCNMB1		0.68	3.35
TBC1D7		27905	11465
GFOD1		3355	9.31
FAM193B		20105	114677
TNFRSF21		47.7	16305
PRIM2		12755	3.49
HMGCLL1		0.17	1805
FGD2		3115	26.93
TPBG		24379	7.02
MMS22L		5935	1465
FAXC		10.7	2705
SCML4		0.39	2.02
RSPO3		745	4.03
MTFR2		5915	1.02
VIP		0.04	2465
SLC22A3		1.46	10995
IGFBP3		186553	33164
MDH2		178.39	83844
PSPH		18295	4.02
GIGYF1		11.19	26.02
TMEM140		13.98	29.17
NCAPG2		14115	3185
SH3KBP1		10585	24045
TMEM47		3.77	17785
SLC16A2		2905	8945
OGT		24685	104003
NXF3		0.21	8385
GPC3		28564	121397
MAGEA4		8.38	0
ZNF185		17.59	7.33
HMBOX1		6505	27.87
GNRH1		585	4215
SLC25A37		12.4	56.48
RGS20		2.6	0.14
TACC1		17775	82951
GINS4		6.39	0.91
SYBU		3.24	10165
LRP12		11015	3.9
RSPO2		0.12	3.94
MAL2		102842	46375
NDUFB9		336496	146.58
FAM83A		13545	0.18
GSDMC		8154	0.42
SLC39A4		59.02	26715
NFIB		6405	15.19
PLIN2		29055	116913
NTRK2		30316	2504
SHC3		0.46	2865
SNX30		4.42	14944
STOM		93389	280.4
POLE3		57265	26525
GBGT1		4.23	12.24
SLC25A25		10029	26695
SH3GLB2		38289	81925
FAM73B		8265	22079
PTGES		18.06	5105
HMCN2		0.25	3.26
NOTCH1		10675	24.38
NACC2		3.64	9.57
ZEB1		3.53	17765
FAM13C		1.09	6535
MKI67		17405	1305
ITPRIP		13545	35015
SCGB1A1		28115	384475
SYT8		2035	6495
SERPING1		159857	903292
SLC43A1		3.16	11.95
SESN3		21994	7.64
TENM4		3885	0.46
PAK1		62111	18345
NCAM1		0.4	2015
GRIK4		0.08	1.33
ST14		82839	22.93
GGTLC1		0.21	32925
INCENP		17.67	5325
PLCH2		8.61	2765
MS4A2		0.75	4905
FEZ1		14155	35215
ESAM		12.72	163896
SIDT2		15765	59075
TAGLN		223216	989666
JPH2		0.33	4505
FERMT3		15.53	53334
TAOK2		15.85	47985
HMGA2		6185	0.08
MMP3		2.85	185
KLRF1		0.44	2855
FXYD4		0.1	1.8
PCDH15		0.06	1.32
LATS2		3.92	13.14
HNMT		18.16	37475
LYPD1		2.83	0.85
LYPD6B		12215	1.16
GPM6A		0.21	7.25
VEGFC		2905	12315
RGS18		0.79	4.38
FAM173B		13235	5465
TIMM8B		67794	33.33
FOXO1		7.4	16065
RILPL2		3.95	11.33
ITPR1		5.97	23.64
PRSS53		0.48	2605
SLC7A11		3785	1.1
TWF1		63.44	21.69
MAGI1		2925	11035
MBIP		18565	49199
KCTD14		2515	7185
ME3		2.05	15045
FRMD4A		8055	26.4
FAM160B1		5205	11.55
NR3C2		0.81	4525
VENTX		235	3615
INPP1		14.26	34391
FLI1		5.46	33216
WWC2		3165	18699
SERP2		1745	4.91
ZNF385D		0.48	1.97
TDO2		4935	1.72
PARP8		8025	20614
GFRA1		215	2.41
GLT1D1		0.31	2.41
SCHIP1		1.56	5215
TMEM163		2.94	14.57
HSPB8		10.95	69252
GEMIN6		12965	5.26
TMEM178A		725	5.9
SETBP1		2.16	5895
EPG5		5.21	12865
SPC25		9955	0.69
PDK1		14.37	4025
PDE3B		2395	8005
GUCY1A2		465	3.36
SUV39H2		8.55	2.1
USP12		9.22	20.73
ZFP36L2		40671	118796
PLEKHH2		1765	34165
TMEM123		166219	67311
IGSF10		1.88	28.12
SPARCL1		54268	506142
GPD1L		7	21.56
GJA1		117282	52279
PELO		9.57	20.36
RASGRP3		3.13	7.64
TCTEX1D1		0.32	4425
SLC16A12		0.07	2035
HHEX		4775	14.63
UTRN		10.83	28834
ZNF117		3215	10695
PLOD2		38439	13645
SYCP2L		0.44	1.96
RASSF3		9.81	25875
NR4A2		3.83	12.82
SLC25A27		1.82	25575
LPCAT1		38614	173.29
PLEKHG4B		4.42	0.65
PTPRD		1045	5495
LURAP1L		9.5	25.78
TMPRSS11D		4975	0.02
PID1		3185	21.12
MCOLN2		2455	10205
LGI4		0.79	15835
SREK1		17515	36885
MSI2		26.24	9.53
GRAP		2.04	7.44
IMPACT		17745	7.85
THY1		61697	27075
ROBO4		3.21	57615
ROBO3		4695	20285
TBRG1		16555	40.19
NRGN		6055	63146
FAM134B		4125	9.57
UCHL1		113692	11875
TNIK		3425	11245
FAM167A		0.95	6655
PGM5		0.77	13.77
OBSCN		5.35	14.06
MAGED4		8.54	645
PDLIM3		16165	56773
SORBS2		2.59	19.77
NCAM2		0.62	2785
PDE1C		0.23	5.21
JAM2		2515	23585
XPC		10415	27.73
FGD5		3295	26.86
FLCN		13255	44.73
PLCL2		1.46	5005
SKA1		5845	255
PIEZO2		0.94	7545
RAB6B		8.35	2.46
PROM2		30.72	2.42
PTPRN2		845	3595
SLC25A28		37699	78855
SAMSN1		6025	23.43
SLC16A1		29504	4.45
NIFK		59354	22105
SLC7A7		10965	47.3
GRIA1		0.08	7.83
XAGE2		0.15	1.38
VSIG4		14.36	125447
PDIA4		171711	52709
TMEM237		28335	9.78
FZD7		14.48	5.74
RAET1L		8865	0
SLA		6465	33954
MICU3		0.87	3.51
GRIP1		2.05	395
GNA14		0.71	7.94
GNAQ		10.56	26099
WIF1		0.91	25065
MAP3K7CL		3515	8.24
TSPAN7		23.43	66474
RPGR		4375	26385
TDRD9		0.21	2.47
FGF18		0.22	2165
PCDH1		8.26	31649
MTERF3		24.18	11025
PTDSS1		123506	42805
WDYHV1		19975	9.15
FBXO32		29265	7.19
FRRS1		8.46	2
SLC6A1		0.29	1615
FCHO2		6475	17265
RBPMS		25235	149644
TMEM171		2.65	0.26
TIMP4		0.46	3955
SYN2		0.38	2065
LRP8		9.62	3.36
RP11-66N24.4		1.43	6.6
FUK		6505	14075
KIT		2.18	11.19
ZNF19		1.47	3.98
TSC22D3		64.03	412413
ERG		3.28	19.72
ETS2		54579	129238
TSPAN18		6675	16.81
PALM2-AKAP2		0.79	3.04
SNX22		1165	9415
SLC34A2		27426	461775
PSMG3		69675	25201
WDR19		5875	30415
FMNL2		14.35	31305
GAREML		4.02	1.09
TNFRSF14		29.61	173849
RADIL		965	7.23
SKI		18.33	37.8
KRTCAP3		71774	21029
WDR66		15995	2345
GRHL3		12145	0.11
UBXN11		10.67	47445
GALNT14		17.86	1365
HPD		0.11	1.84
RHPN1		4585	11675
XDH		1.59	0.1
MRAS		6.49	20954
ESYT3		0.83	12525
FAM46B		2.78	14.57
RHBDL2		5.22	705
SHROOM4		1.16	14.24
HIST1H2BD		24.07	11419
NCF1		7.57	26275
PPP1R9A		0.64	2645
ZFAND2B		21995	45384
GDPD5		3.5	16675
RNF166		12034	50101
NBL1		99267	222976
ITLN2		435	16495
ZNF276		11.96	32565
FAM160B2		26179	76465
FCER1G		88404	300016
MPZ		0.88	3525
MIS18A		12.74	3.36
SYNJ1		2875	8145
PAXBP1		8725	22485
SON		62396	141925
LAD1		131753	12585
TUBBP5		3405	1.09
SIM2		2.74	0.26
SCUBE1		0.15	6.33
PADI4		0.09	8415
HK2		34.53	12405
STARD9		0.56	11.68
RGL4		625	3285
SPRR2G		1.64	0.11
PGLYRP3		2115	0
SPON2		16.9	86849
LRRC36		0.43	7305
TPPP3		15.34	79.47
ZFYVE28		2835	10.62
ZYX		112649	336403
NPR2		4885	20674
PTGIR		1.97	28753
KALRN		3.38	11115
RSPH1		1015	3899
GAB3		1135	8355
ITGB2		40709	100475
LSS		19.2	44535
GPSM1		6145	30266
ST6GALNAC6		21.9	89803
PKN3		4385	13175
TMEM190		495	3585
TLCD1		19.35	9.09
PCSK7		16.79	39.53
FLAD1		47689	21325
IL6R		5.81	17275
NBEAL2		21105	142127
PTH1R		855	23215
MYL3		0.32	5015
LRRC71		0.09	1.75
FGFR4		2865	68804
HK3		4.23	41865
LY6K		17655	775
IER2		54.66	122708
TONSL		7445	1705
PTGER1		0.16	1365
RECQL4		19.32	3135
ZNF333		3.96	13.87
RPL8		3262358	1536678
SCGB3A1		20155	180962
YDJC		29509	11.25
FBXO27		18795	2655
U2AF1L4		16785	36096
PLXDC1		4995	11745
FDXR		17.99	8
ZNF577		2.67	10795
ITGA5		43691	144587
SIGLEC11		0.13	1525
ZNF385A		56.49	21.03
SIGLEC16		125	1.3
MPP3		5655	19365
LSM12		40.68	18.35
FMNL3		6275	15.31
RACGAP1		29455	6.05
GRASP		4.41	113901
SPC24		9065	1.01
IP6K3		0.19	4.1
TREML1		325	1955
SCIMP		1985	6055
TNFSF13		23.41	68057
FGF11		13635	1.01
POLR3K		17.78	8.11
SNRNP25		39795	16.7
SPSB3		25.13	62454
PPP1R32		1255	7745
NXF1		44301	108214
SLC25A45		3.08	7.87
ITIH3		0.43	6665
TAL1		415	14475
SLC1A7		0.2	2.44
PPAP2B		21.52	72018
JAK1		33845	69065
SLC25A34		0.39	2.84
LAPTM5		99335	255264
SYNC		1.25	4125
KIAA1522		47775	21.13
TSSK3		0.64	2.52
WNT4		2.5	715
SCNN1D		955	3575
MXRA8		41.35	112123
MEGF6		7045	33.59
MYSM1		5215	14.89
NEXN		2715	25405
NTNG1		0.11	2985
GBP4		9.03	25515
KCNT2		0.17	1.9
NLRP3		0.98	5135
SLAMF9		1.83	0.24
VANGL2		18355	4325
FCGR3B		2195	14475
TDRD5		1.83	0.07
SNED1		2115	15.32
MT2P1		0	4.98
KIF26B		2.78	0.74
TFB2M		16.82	5885
PKDCC		7885	90858
PIGR		9185	61599
PEX13		19455	8995
FAM84A		22.4	4.56
FRZB		2.18	7139
VSNL1		24025	2.08
NOSTRIN		1675	51481
SGPP2		14965	4165
HPGDS		1.11	5315
S100A11		2450906	844497
IVL		7.78	0.12
SPRR3		40785	1.07
SPRR2D		48435	0.26
PGLYRP4		1.67	0.04
S100A12		3.93	56924
TGFA		13905	2.62
TDRD10		0.32	10615
NIPAL1		2305	0.48
LINC01116		2.36	0.28
EOGT		11785	32766
SLC22A15		1.59	5595
IGFN1		0.04	1115
PROK2		0.13	5.5
FSTL1		50834	115527
LMOD1		2405	38264
IGFBP7		196.46	477348
TMEM79		14365	3.32
STK36		10	30036
KIAA1524		8705	965
TGFBR2		17145	111797
NFASC		2705	8585
FCRL1		215	1.96
SGOL2		4415	0.83
PRKCI		29.24	13055
MNDA		6015	29477
PYHIN1		995	3.4
RPL22L1		112657	51646
PRICKLE2		1.87	10045
PPM1K		2905	9.53
GMPS		77.31	20.54
PTX3		0.78	19.17
PCOLCE2		6785	16.97
TTC14		12.24	29316
PPBP		0.17	11.33
PF4		0.14	5.73
SNRK		6845	25.42
KIF15		5245	0.59
WDR43		28365	10.29
FYCO1		5505	14995
NMNAT3		11285	3.69
ZC3H12A		15.02	31074
POLR2H		142858	66015
KLF15		1.15	15714
LIPH		4425	10025
TMEM41A		32045	13.03
SENP2		28709	12.96
HEYL		4.21	22275
RFC4		57986	8.81
RPL39L		57881	5755
UVSSA		2935	14.54
ZDHHC19		435	2155
PIGX		36985	8325
MFI2		16.34	2.7
SGMS2		4245	11.22
METAP1		40095	17.11
H2AFZ		346965	161081
ZNF589		5.36	12.72
PLXNB1		35.02	72.68
SPRY1		14055	61513
INTU		1645	4425
HSPA4L		5935	1.16
POC1A		6685	1.79
PPM1M		12.12	35.25
PITX2		1825	0.01
MAD2L1		27826	1.87
HPGD		5.78	59.92
NPY1R		0.14	1.53
IL15		3245	7.93
FAM160A1		3275	1115
HHIP		0.58	9.53
RANBP3L		0.13	1605
RNF180		0.69	2385
STARD4		8.16	17795
F2RL1		11.86	3.02
SCGB3A2		51236	286451
SHROOM1		4135	14915
LEAP2		535	2.35
GJB7		1.73	0.14
SLC35A1		10.38	27585
SFXN1		28794	8.17
TMEM200A		2205	5525
PI16		125	5.92
PTTG1		82615	8155
KCNK5		1.88	5405
SLC29A4		4375	935
STEAP1		24.54	10.93
KIAA1324L		6795	17775
SYTL3		3175	11.52
SHH		0.3	1.9
FNDC1		4.02	655
SOX17		0.51	7.64
TNFRSF11B		1.64	6949
SBSPON		0.73	3785
ORC5		15995	6885
GPR146		2.94	23136
GPER1		0.7	5905
TMEM184A		8065	3.16
NOS3		3.41	16005
MICALL2		18.25	50091
YWHAZ		634136	200373
FZD6		41795	12.09
FREM1		0.72	3.36
GEM		10145	27725
NIPSNAP3B		0.82	2.73
NFIL3		26424	55635
TMEM71		1.61	6.7
MAMDC2		705	36156
GKAP1		1825	4.89
KIF27		1475	3965
SVEP1		1415	18795
FBP1		15.44	104571
NCF1C		3.3	8.49
PCDH19		1.63	0.12
FIGF		0.52	33091
STRBP		15.87	7.17
WNK2		11.64	1295
ZNF367		3.35	1.05
MELK		14.39	0.63
OTUD1		7215	15.48
HECTD2		2305	6.55
ZCCHC24		4.08	21.49
SLC16A9		3.32	0.65
INPPL1		38195	123926
GJB2		69.18	0.42
SKA3		5.56	0.32
PCF11		16.52	49176
PKNOX2		635	9.7
VSTM4		1685	10525
SLC18A2		0.32	3.33
HPRT1		54588	15.22
FAM69B		5.13	13675
KIAA1462		3.32	28.01
METTL17		33846	70029
NDRG2		37.39	148456
RNASE7		1.19	0.07
ZNF219		14.49	36564
METTL3		21.3	50815
TRUB1		10.69	3905
UBTD1		12.64	32.5
GYLTL1B		32895	4.05
SLC39A13		22461	71.09
HACD1		7.6	19.85
JAM3		5415	32.41
GPT2		12745	2.32
RAB8B		6.28	20775
SPINT1		133024	55614
FBN1		16095	43674
SGPL1		25235	11.13
TMEM100		915	160702
SMPD1		17705	41.73
ILK		58442	158819
MSS51		0.43	2.37
USP54		10005	27644
SERPINB7		2775	0.08
KIAA0355		5.05	14505
RIC3		1.14	8145
WDR72		15145	0.23
ZMAT1		0.82	9775
TMEM130		0.93	4005
MFAP4		23.85	462704
MAPK7		9.74	23495
PRKCB		1.6	6715
NDST2		10.93	30399
MCM7		103877	40196
RIMKLB		11.51	37175
TMED3		115235	44074
NDEL1		24435	57.37
RRAD		4655	47746
MMP10		14434	0.19
NNMT		114976	371275
ZNF667-AS1		3859	14.39
YPEL4		665	4.17
FAM111A		12195	29.31
KIAA0101		53256	2.62
SCNN1G		1.64	7405
RBPMS2		1.16	6.62
PLK1		28025	2445
STAT6		78.24	179799
XRCC6BP1		10.08	4425
STX3		17895	42489
MTMR10		6025	14935
SCG5		3255	0.78
GREM1		10.18	0.55
MS4A7		9135	63074
MS4A14		0.47	7325
MS4A8		0.24	2935
MS4A15		445	37314
RCCD1		11.53	5165
MAPRE2		8.2	21105
EVA1C		17.99	51519
NUDT21		51613	23745
GNGT2		2.63	6.64
SNRPD1		117327	33005
SAMD14		1125	6.76
TRUB2		24406	10.93
PRRX2		6.75	2.75
UGT1A6		61791	0.17
PRR15L		4.28	23.98
FBXO22		23.4	9275
TBC1D2B		11485	48351
ENTHD2		14.64	35654
RRM1		42574	14735
PRRT2		0.71	10.04
SGK494		2795	7.81
PROCA1		1275	3.64
TUBA1C		658093	107358
NCKAP5L		7235	16675
GPD1		0.47	7.31
NFKBID		4365	18495
LAIR1		13.69	56755
LENG8		33499	238136
PPP1R14A		5855	139111
SPINT2		570743	175788
LY6D		23.38	0.38
PLIN4		0.31	2835
SEMA6B		2.95	9435
FAM57A		26.88	8.27
KIFC2		11.3	26.25
SLC43A2		12585	29.51
RILP		7615	24374
SERPINF2		4.01	12.48
KLK6		2005	0.05
KLK11		7435	21.68
KLK13		2105	385
ZNF83		10195	47145
KRT80		10.71	3065
RCOR2		2.56	285
IGFBP6		15.66	64.94
NUDT8		20554	6985
PRDX2		257619	125313
HID1		8665	27104
TMEM88		1915	14.02
TMC8		6655	20544
TK1		92196	6.79
TMEM68		16325	7365
TMEM99		25.6	9.96
SRRM2		176313	723.65
HRASLS5		0.12	1.37
TRANK1		3135	9855
TTC21A		1.35	10095
ENTPD3		7.38	1.52
LTBP3		46.77	108747
NAALADL1		4045	13375
SAC3D1		14.21	6015
PBK		10.68	0.38
SCARA5		0.17	14665
SETD5		26525	56.97
VASN		6045	33925
FAM83B		8.67	0.04
RNF187		76984	35.39
RBPJ		19.23	46096
GLYCTK		2.62	8165
GNG4		4.07	0.1
PXK		7.11	19315
FAM107A		1065	78533
FILIP1L		10045	28.05
MFSD2A		11.46	61449
ING5		8605	18935
MLKL		6335	31614
RFWD3		15.04	5.73
SCNN1B		7685	31.11
HR		8855	1.67
TNXB		2.05	99026
LGI3		1055	7875
SFTPC		28914	9825396
FEN1		31184	5345
SDPR		7035	82078
MTCL1		6.53	2.5
SERINC2		74119	23405
SLC16A4		1.73	7.91
IL7R		9.98	59779
PKIG		27.07	112993
NPNT		19.94	139386
SHOX2		2125	0.19
SFTPB		236951	5717821
TMEM150A		11.55	31959
VAMP5		41.07	149478
MAT2A		86798	198266
PLA2G4F		3.29	22936
ZNF608		2.82	13.11
INPP5D		5505	26858
STXBP6		2975	23615
JMJD7-PLA2G4B		4355	10.5
PXDC1		20965	64565
SIGLEC7		1.88	5.21
MFSD7		2.91	14835
HNRNPH1		223828	504548
UPF3A		22555	47441
ZBBX		0.16	1575
PARM1		7.34	26695
FAM110B		1.51	4435
UBE2V2		56.94	24285
RP11-231C14.4		17.39	68695
RSPO1		0.09	3405
RAB24		19.84	42.42
THBS3		13.55	38089
NPIPB3		23495	80359
ZRSR2		8.66	19475
GPRIN1		2.8	0.44
SHE		1.02	19.56
PGM2		28435	12875
RNASE2		1.3	7685
NPR1		1335	34.73
RASSF6		3205	0.76
SPRR1B		153846	415
SPRR1A		60108	0.36
GPR183		7365	19.46
ZEB2		6.15	40695
FAM103A1		25.93	10.21
HEXDC		13745	37365
GP9		0	1.76
MT1E		65215	190453
LDB2		4.04	53304
RAC3		19675	4265
TAPT1		8805	23296
PCDH7		4905	1.65
TRIM56		7945	17095
ITGAM		3965	23.42
KLF13		22085	63475
ZFPM2		0.87	3655
MYO7B		0.18	5.23
YWHAG		105189	47589
KCNAB3		955	3.41
FAM153A		0.46	3265
RP11-423H2.1		38895	9735
SIK2		5305	11.82
SLC16A5		7.16	28255
FABP6		4635	1.49
FAXDC2		3065	38.63
HSPB2		1.36	11225
SLN		0.27	1555
FABP4		2775	112.86
FOS		79851	292957
TMED10		233705	92081
OR2A20P		2845	7985
TMEM182		4.78	0.95
KRT8		514.65	203388
KRT6C		18.27	0.04
MZB1		46386	15465
KRT4		1975	5.96
SERPINB9		6465	15.52
IRX1		0.23	3165
IRX2		5.35	14925
SIX2		4795	0.15
SGCD		0.97	4005
TMEM133		1.77	6115
RASA4B		4.09	13.61
SDR16C5		7815	36675
PLA2G1B		385	15892
OSCAR		3.59	28525
TPT1-AS1		7475	22826
ZNF160		8.78	19.3
ZNF415		1435	4115
PRKCDBP		13275	42654
S1PR1		4735	81308
HS6ST2		5625	0.22
LRRC8E		5675	1.84
FPR2		845	8.89
FPR1		5295	36.9
SOX7		5195	14964
FAM86JP		5.06	0.73
SIGLEC17P		0.46	3.7
GIMAP8		2.12	24759
PRKCE		3535	22899
NETO2		16735	5.42
JUNB		118352	334566
SHCBP1		6.39	1175
SOSTDC1		5595	12625
ZNF439		1.59	6.1
KCNK3		0.46	21.76
PGAM1		309446	134647
ESCO2		4085	255
KRT19		1407188	254513
KRT15		356262	7615
TPPP		2.48	7565
KRT13		134554	5575
MRPL36		89.29	29906
HOPX		37525	392894
LRRC8D		20235	5.44
RXFP1		0.2	2475
LPAR3		7835	1.1
PTGER4		4.43	13.32
MAP6		1.47	6295
FGG		2.21	13.95
FGA		305	2215
NMUR1		0.13	2.24
PIK3CD		5.67	12.38
PTCRA		0.25	2605
RP11-443P15.2		8275	0.92
LGALS4		0.52	2.12
RASGRP4		675	10.09
RHNO1		40.29	8525
KNDC1		0.37	3.07
ZNF540		0.49	2.98
NINJ2		8.28	20569
RRM2		46515	2.32
RPS7		1679.83	837908
SRGAP2C		3.1	7.24
LRRC48		1255	4.89
JMJD1C		14.59	39575
SYNPO		15.88	77385
MAL		2475	22.7
LAMB2		62359	366494
LRRC15		3585	0.42
FRMD3		375	2.58
SNTB1		3.49	12.85
MTBP		3785	0.92
MRPL13		55366	20594
ID4		4925	26935
TPSAB1		31519	134722
PAIP1		91224	43914
NEGR1		315	5.25
MACROD2		1.55	7.27
POP7		52841	21.34
STARD5		14.04	5895
RCAN2		2665	15435
IL16		6245	28425
SYNPO2		1465	12915
GTPBP2		30954	69096
TCEAL1		12385	36.24
NIPAL4		1.7	0.26
PDE3A		0.68	3.12
KLHL6		2485	9555
RND1		3.66	16579
FAM21C		13425	28889
SLFN11		8695	30.62
ZNF596		1485	4515
RAB37		1345	6.6
OVOL1		5.69	0.34
RARG		37.71	17925
ZNF621		5375	12.12
MRGPRF		2.36	15785
LCLAT1		9.19	3285
SH3RF3		1.67	6.01
HPSE2		0.11	1.26
HECTD4		8.13	20065
LRRN3		0.17	3.09
RHOD		27.6	10.57
RAPH1		4.95	13.77
PARP15		0.99	8585
VANGL1		6645	2.12
GLRX		25235	87842
SNCG		8.78	19795
MMRN2		5.13	27275
MZT2A		96041	36.69
FAM86B3P		1.4	3935
NDNF		2395	28974
OLR1		4805	44299
NAA20		106137	45.49
PPP1R14B		159415	57011
PTPRM		8.14	74754
PEAK1		4025	21.14
TNFRSF10D		2065	7.82
MST1		5.23	14875
TNFRSF10C		1.48	7445
SULT1B1		0.15	1375
PC		16.23	7165
SLC19A1		8705	19825
HSPB7		0.87	18055
UQCRH		385.89	159.52
HEG1		11.97	37259
STAT5B		13.99	43019
JUP		357462	68.26
HAP1		3.82	0.51
RNF213		44366	100.83
PLK3		11.18	41.64
NET1		55705	18885
PHOSPHO1		0.32	1.66
SPTBN2		20589	2.7
HOXB2		4.09	13665
PIFO		1.51	6725
XXYLT1		26279	5535
TCAP		0.29	3.81
NRROS		3215	9025
FBXO45		16.91	3255
FAM3C2		37409	7835
MSRB3		4.92	29.2
TRMT10C		23894	8.35
SELP		2235	17.72
PIGG		19.03	39.4
ZBTB4		15945	33145
SLC16A11		0.96	3585
PODN		8365	62765
EXO1		8315	0.39
RALGAPA1		6.82	17305
GTF2IRD2B		10	21165
ZWILCH		11.88	3435
SLC26A9		635	11.98
MFSD4		2.45	6.43
MRPL11		79448	33.14
IL20RB		7985	0.97
GOLT1A		1.59	7595
UGT8		4655	0.36
SLCO2A1		5555	132996
ZNF266		13155	29009
FZD4		2225	27869
RSRC1		39749	11.74
PQLC2L		1625	6345
SEZ6L2		14405	4.28
P2RY14		0.81	4265
GPR171		1555	5305
FUT1		3.24	8415
ZDHHC14		3965	9385
UBE2C		102344	3395
WFDC5		2.78	0.21
MARCKSL1		102639	34506
YPEL2		3685	10225
PSMD2		333674	121485
PARL		105547	38505
NPPA		0.07	2.53
GOLGA8A		18355	57601
VWA3A		0.09	3855
PHYHD1		6315	36763
PHYKPL		15375	67335
GRAMD2		1.73	12.88
ZNF25		2685	6.71
LPL		2.31	57711
TBC1D10C		4.4	16.62
MCTP1		3265	9.23
LRRC25		3465	12115
LIPT2		3.57	1245
LONRF3		0.5	5175
SUGCT		6815	1315
RMI2		22425	1785
TOM1L2		12795	28974
KDF1		14435	4.99
RWDD4P2		4.92	1.77
NR2F1		5.71	46864
LINC01106		3755	8515
RUVBL1		68483	20.98
SFN		663291	48085
MSRA		4.94	14.09
ETV4		15435	2335
HOXD8		2715	0.76
GPX2		237551	1.41
SLC35G1		4965	1.88
RIMS2		1.32	0.06
SYNE3		0.67	4.67
PLA2G16		15.07	67491
PRR15		4.76	1.13
GNG7		0.81	4295
KBTBD11		0.57	2.8
LMNB2		40949	12105
TTTY14		405	4825
NCKAP5		0.9	5.26
RUFY1		21.12	43781
METRNL		35.4	77396
RP11-334J6.7		55	8925
TYMS		48.44	6.82
TYMSOS		1.74	0.21
FUT2		6425	0.69
MUC20		22265	9.32
FIBIN		3605	22725
MTHFR		4945	17.85
ZDHHC13		14.46	5.48
SCN4B		1275	7.2
LINC00982		0.33	5.07
FAM210A		11.48	4.24
KCNA3		0.47	2275
OVOS2		3415	0.41
LRRN4CL		0.34	2.52
HIC1		2.37	10315
MAGEF1		55485	23355
SAMD9L		4575	12.72
NR2C2		7575	20.05
GPR4		2095	18.8
PTRF		64.25	209114
TBL1XR1		55151	23.29
PIDD1		7.54	16.15
JUN		52574	153915
PGBD5		3435	1075
PNPLA2		33945	159652
SRRM3		5.96	1035
FLII		105.47	236.27
SOX12		9.4	3.73
MYOZ1		0.32	3415
UBE2N		114455	49.95
MAMDC4		1265	7535
ODF3B		24635	68175
MLF1		34296	9.47
STAP2		51333	13575
HTR3C		0.02	1065
PDE4DIP		23255	58094
ZNF366		0.27	1.82
PARD6G		9795	2.62
SH2B1		20569	42379
RNF212		1.25	4.01
WDR6		46365	110296
GEN1		5145	2065
ZNF354B		3.84	10.59
SHISA3		0.2	3.89
FAM220A		17115	6.82
P4HTM		12.3	27875
SLC25A20		7.7	16979
EPM2AIP1		4155	9.87
ERN1		5945	15425
KCTD12		11.18	37.25
THBD		18985	54854
FAM219B		20.4	45196
TMEM139		1.08	12315
EXOSC4		45019	17349
FOXE1		10.15	0.02
HYI		20.38	54024
LGALS7B		77675	1.63
GAK		34735	87268
RMI1		7.24	2.07
RRS1		21995	9.31
EXOC3L1		1.68	11665
RCC2		80345	25805
PER1		18505	173524
GIMAP7		6.54	41215
TMEM125		6955	78544
FAM156B		8.65	23875
HLA-DQB1		57239	157624
GATA2		3135	45315
GPC5		0.09	1.19
FJX1		6.83	2705
MKRN3		2105	0.11
PCBP1-AS1		12.73	29421
MYADM		34.46	102043
GIPC3		0.79	3655
ZNF154		0.53	2.21
ITLN1		0.21	1.72
GPBAR1		0.36	2365
SSC5D		2955	8035
PPP1R14BP3		9215	3.88
RP11-1319K7.1		0.55	4.06
TMEM150B		1.79	9955
RCC1		35595	12525
HERC2P3		5165	20405
HCLS1		37875	86978
MTURN		5.64	20659
PAK2		47019	20.06
TPRXL		2595	0.11
SERTM1		0.04	1.49
HMHA1		18125	61375
KCNE1		0.31	4925
RNF182		0.29	2.77
SRP9P1		48569	7
PRF1		4.54	15165
SHISA2		5.1	1.29
S1PR5		9.84	1.91
HOXC9		2405	0.13
HOXC10		1875	0.05
MAP6D1		3.54	1.12
FAM83H		34711	8.77
LSMEM1		0.61	4335
NQO1		147599	34404
TRAPPC5		75.95	36835
RPH3AL		3695	12.07
FCRL6		0.48	2.24
SLC26A11		8.58	22696
MAPK15		3.42	15385
HLA-V		0.5	3.11
PENK		0.74	3305
HIST3H2A		15565	3395
TMEM132C		0.01	1.19
ZNF467		3.29	14655
SOX2		68329	355
TMEM45A		32669	14.81
RAP2B		24595	8075
SGSH		18.9	54.53
